TRLN,GTEE,MTHD,KEEP,STEE_AV,STEE_SE
2M,"[20,50)",svdquartets,250,0.100131818182,0.01228690192
2M,"[20,50)",svdquartets,100,0.130434939394,0.0126372435343
2M,"[20,50)",svdquartets,50,0.166007939394,0.0156396686605
2M,"[50,80)",astral,1000,0.0869567428571,0.00912854841726
2M,"[50,80)",astral,750,0.0869566857143,0.00745343333349
2M,"[50,80)",astral,500,0.0819877428571,0.00856539165792
2M,"[50,80)",astral,250,0.0906832571429,0.0101486154649
2M,"[50,80)",astral,100,0.109316857143,0.012468407522
2M,"[50,80)",astral,50,0.134161571429,0.0129540149908
2M,"[50,80)",astrid,1000,0.0869566857143,0.0106861405829
2M,"[50,80)",astrid,750,0.0795032,0.00814319802863
2M,"[50,80)",astrid,500,0.0869566571429,0.00805062298109
2M,"[50,80)",astrid,250,0.0844721428571,0.0112410960514
2M,"[50,80)",astrid,100,0.103105657143,0.0124330004406
2M,"[50,80)",astrid,50,0.119254714286,0.0135332859357
2M,"[50,80)",mpest,1000,0.0919255714286,0.00958559543552
2M,"[50,80)",mpest,750,0.104347885714,0.0104229451935
2M,"[50,80)",mpest,500,0.0993789428571,0.0113270526981
2M,"[50,80)",mpest,250,0.106832371429,0.0112958615573
2M,"[50,80)",mpest,100,0.1217392,0.014032320043
2M,"[50,80)",mpest,50,0.155279542857,0.0148326871367
2M,"[50,80)",caml,1000,0.0571428857143,0.0085654011292
2M,"[50,80)",caml,750,0.0645962857143,0.0099954052505
2M,"[50,80)",caml,500,0.0683229714286,0.0116909804014
2M,"[50,80)",caml,250,0.0881988,0.0135495771684
2M,"[50,80)",caml,100,0.127950371429,0.0147970132798
2M,"[50,80)",caml,50,0.155279657143,0.0155439033012
2M,"[50,80)",svdquartets,1000,0.099379,0.0110512048691
2M,"[50,80)",svdquartets,750,0.105590171429,0.0108701920773
2M,"[50,80)",svdquartets,500,0.111801342857,0.012824037314
2M,"[50,80)",svdquartets,250,0.119254771429,0.0140918986964
2M,"[50,80)",svdquartets,100,0.159006228571,0.0141574597013
2M,"[50,80)",svdquartets,50,0.191304485714,0.0125705342525
500K,"[20,50)",astral,1000,0.0794604137931,0.00901275109634
500K,"[20,50)",astral,750,0.106446896552,0.0113362083348
500K,"[20,50)",astral,500,0.109445482759,0.0113430294713
500K,"[20,50)",astral,250,0.133433310345,0.0140532013345
500K,"[20,50)",astral,100,0.202398896552,0.0137859126909
500K,"[20,50)",astral,50,0.259370310345,0.018175318925
500K,"[20,50)",astrid,1000,0.0869566206897,0.00971626911504
500K,"[20,50)",astrid,750,0.100449862069,0.0116331626155
500K,"[20,50)",astrid,500,0.121439413793,0.0112950925807
500K,"[20,50)",astrid,250,0.143928206897,0.015157035557
500K,"[20,50)",astrid,100,0.22488762069,0.0167042207307
500K,"[20,50)",astrid,50,0.269865034483,0.0190090876632
500K,"[20,50)",mpest,1000,0.100449827586,0.012739823299
500K,"[20,50)",mpest,750,0.121439275862,0.0122497797997
500K,"[20,50)",mpest,500,0.133433413793,0.0123505627864
500K,"[20,50)",mpest,250,0.179910103448,0.0152488059949
500K,"[20,50)",mpest,100,0.287856172414,0.0185342461991
500K,"[20,50)",mpest,50,0.359820103448,0.0174708069129
500K,"[20,50)",caml,1000,0.179910034483,0.0135305413313
500K,"[20,50)",caml,750,0.19340337931,0.0155208690963
500K,"[20,50)",caml,500,0.226386896552,0.0156352956514
500K,"[20,50)",caml,250,0.295352344828,0.0176605311713
500K,"[20,50)",caml,100,0.371814103448,0.0201799319918
500K,"[20,50)",caml,50,0.439280310345,0.0176561549964
500K,"[20,50)",svdquartets,1000,0.193403344828,0.0160897080327
500K,"[20,50)",svdquartets,750,0.22488762069,0.0174929610638
500K,"[20,50)",svdquartets,500,0.257871137931,0.0178569547329
500K,"[20,50)",svdquartets,250,0.293853103448,0.0153854352162
500K,"[20,50)",svdquartets,100,0.376311793103,0.0173907664635
500K,"[20,50)",svdquartets,50,0.41979,0.0195795167299
500K,"[50,80)",astral,1000,0.13799626087,0.0174594299545
500K,"[50,80)",astral,750,0.155009565217,0.0180973736218
500K,"[50,80)",astral,500,0.172022826087,0.0193663928672
500K,"[50,80)",astral,250,0.215500956522,0.0224432940025
500K,"[50,80)",astral,100,0.266540652174,0.024691343095
500K,"[50,80)",astral,50,0.330812913043,0.0215101223766
500K,"[50,80)",astrid,1000,0.147448043478,0.0166392527116
500K,"[50,80)",astrid,750,0.15879026087,0.0211532308158
500K,"[50,80)",astrid,500,0.173913217391,0.0160402408028
500K,"[50,80)",astrid,250,0.206049217391,0.0222416272449
500K,"[50,80)",astrid,100,0.279773217391,0.0223392185211
500K,"[50,80)",astrid,50,0.338374347826,0.0234521243984
500K,"[50,80)",mpest,1000,0.160680608696,0.0180199561078
500K,"[50,80)",mpest,750,0.179584304348,0.0191485876601
500K,"[50,80)",mpest,500,0.202268608696,0.0213214676264
500K,"[50,80)",mpest,250,0.236295043478,0.0201527010751
500K,"[50,80)",mpest,100,0.323251521739,0.0210206098515
500K,"[50,80)",mpest,50,0.425330782609,0.025072228416
500K,"[50,80)",caml,1000,0.170132304348,0.0218682811966
500K,"[50,80)",caml,750,0.190926391304,0.0228004540199
500K,"[50,80)",caml,500,0.21928173913,0.0242788955356
500K,"[50,80)",caml,250,0.266540782609,0.0249791313981
500K,"[50,80)",caml,100,0.347826217391,0.0229972132333
500K,"[50,80)",caml,50,0.440453695652,0.0207602950136
500K,"[50,80)",svdquartets,1000,0.224952782609,0.0206477065738
500K,"[50,80)",svdquartets,750,0.223062521739,0.0198810243263
500K,"[50,80)",svdquartets,500,0.241966086957,0.0229701404652
500K,"[50,80)",svdquartets,250,0.26654073913,0.0191485563084
500K,"[50,80)",svdquartets,100,0.33270326087,0.0197555953901
500K,"[50,80)",svdquartets,50,0.429111565217,0.0263709178949
